hash,author_date,files_changed,insertions,deletions,message_length,label,total_complexity,max_complexity,total_nloc,max_duplication_similarity,security_issues_low,security_issues_medium,security_issues_high
4c8d1b9a7dc909a02fa0304d00b87b664edc385d,2013-02-11 22:07:12+00:00,2,6,3,100,0,206,142,616,0.0,0,0,0
56f4b7ca68d75795112b673673de2b90f05c9e93,2013-02-12 06:51:46+00:00,2,3,5,67,0,183,143,641,0.9996663928031921,2,37,0
09a72512451dae1e4fa9d7376af9b1bdec8441a7,2013-02-12 08:27:05+00:00,0,6,3,92,0,0,0,0,0.0,0,0,0
cdec20af650bd5e6441a671f4d7da9717814b260,2013-02-12 16:43:02+00:00,0,5,0,132,0,0,0,0,0.0,0,0,0
4dfd6f3fc1f73c013163b1dec8f24accf99df69d,2013-02-13 04:00:06+00:00,1,3,3,54,0,64,64,238,0.99996018409729,0,0,0
f73bda06e95589fb48a3ec974b4f3cfb3a0b9038,2013-02-13 10:13:31+00:00,0,3,3,106,0,0,0,0,0.0,0,0,0
c2480f65e6d3ff2d9af376cd609653882a7cfd3f,2013-02-13 22:57:21+00:00,1,1,1,30,0,38,38,151,1.000000238418579,0,0,0
d0285fac4203e8cfed6b5ceeb96b2646076e745d,2013-02-14 00:11:38+00:00,3,5,5,368,0,100,64,368,1.0000001192092896,0,0,3
69ba64380b5eee14f741f45b22711115fe5c6d98,2013-02-14 02:28:32+00:00,1,12,0,208,0,41,41,267,0.9998279213905334,2,39,0
df5dcb8a7d60d74ee8c1fb955f1dc2fca84566fe,2013-02-14 03:42:56+00:00,1,2,2,89,0,41,41,267,0.9994922280311584,2,39,0
87d9d9643c73d6fc7f701263e5c4e93217db022f,2013-02-14 06:05:42+00:00,1,8,0,67,1,90,90,214,0.9995759725570679,0,0,0
4c21106222f954b77531ccbcba69407327ceab38,2013-02-15 02:33:01+00:00,1,2,2,23,0,41,41,267,0.9998279213905334,2,39,0
f3393fb24cc74e9e9aff643e16e0480fcced6ba3,2013-02-15 03:52:31+00:00,1,0,4,87,0,88,88,210,0.999714195728302,0,0,0
d0390d4f27ed25d5409f899b7c1d298a8fb07c87,2013-02-15 06:42:49+00:00,0,8,4,128,0,0,0,0,0.0,0,0,0
b53975327f624c3cbc0e0db86d52a4ad0288aea8,2013-02-15 16:32:50+00:00,1,4,4,179,0,0,0,0,0.0,0,0,0
3f86e22a07fb1bd91c70d3c487efbadb55f6b36a,2013-02-16 05:56:59+00:00,3,10,9,153,1,263,113,737,1.0,0,0,0
017c02762965be84e4d1043e82822cc87a15c91f,2013-02-19 13:40:15+00:00,0,4,4,107,0,0,0,0,0.0,0,0,0
7e0b9cf409904fac1d3864ed15e2bd4f5186ae8b,2013-02-20 06:50:10+00:00,0,10,9,131,0,0,0,0,0.0,0,0,0
aa9952553729e9526f9b252a3b46717da786f1fb,2013-02-20 07:10:44+00:00,0,1,1,90,0,0,0,0,0.0,0,0,0
178ff62b934c30278114028f654e42374206c291,2013-02-20 07:11:41+00:00,1,1,1,14,0,38,38,151,1.000000238418579,0,0,0
a788cb72719a6bd3cd103c0df762d5f983cda134,2013-02-20 13:57:37+00:00,1,1,0,59,0,8,8,21,1.0000004768371582,0,0,0
577dba2bf737b1522145a1ca52d3aaf0d1fe5ed5,2013-02-22 00:33:01+00:00,1,7,3,38,0,38,38,153,0.9984023571014404,0,0,0
c01bc5be5ba0d4d5c7f516faae3493f1f41ef233,2013-02-22 13:23:34+00:00,1,1,1,86,0,38,38,151,1.000000238418579,0,0,0
1fc567449c9c4e0380bbe137b6a7efb4f4ed0d91,2013-02-25 10:31:00+00:00,0,7,3,92,0,0,0,0,0.0,0,0,0
603fd42fe6b9c7d283d37f676d818491722cebe6,2013-02-25 10:31:21+00:00,0,1,0,97,0,0,0,0,0.0,0,0,0
be62645dd56580dd7576032b348cf79d880851d8,2013-02-25 14:29:05+00:00,1,0,2,168,0,142,142,377,0.9999998807907104,0,0,0
796d3225ddf08a9ebaa429209b9d077c3a8f99b8,2013-02-27 16:01:23+00:00,4,11,5,58,0,108,62,416,1.0000001192092896,0,0,0
18b29ea00563a0bf8e15666806117444c87ac23f,2013-02-27 16:01:36+00:00,1,21,0,61,1,42,42,271,0.9970313906669617,2,38,0
6a0845c98479911bcf4a27555403fe30a6baa27f,2013-02-28 19:07:00+00:00,1,4,1,56,0,63,63,241,0.9968461990356445,0,0,0
057f32924a3d90216760fbe09a3e3a96870f69fc,2013-03-01 07:42:43+00:00,1,3,3,87,0,0,0,0,0.0,0,0,0
c4f9340fb4df41d7a8be66ee41c40bfed64ec6d6,2013-03-01 08:43:39+00:00,4,18,5,241,0,187,142,675,0.9996844530105591,2,40,0
b80f8aa47502d43a5e8d2654558e1e2db53a0ac2,2013-03-01 19:20:53+00:00,1,1,1,30,0,142,142,377,0.9994657635688782,0,0,0
38f2581d6ff4d7ca8011929685917b931f256b77,2013-03-02 04:36:42+00:00,1,1,1,14,0,0,0,0,0.0,0,0,0
1d2ee524d897fd010ef6a401fdf7d7ca6c82928f,2013-03-02 07:21:08+00:00,1,70,0,45,0,0,0,0,0.0,0,0,0
7eba5ffe48add27bc677ae6421b8d6d98dd4f9ef,2013-03-02 16:44:14+00:00,1,3,3,91,0,0,0,0,0.0,0,0,0
73abf84ace955e681d07cacf047263d95c540440,2013-03-02 16:51:55+00:00,1,1,1,23,0,0,0,0,0.0,0,0,0
7e7c275504b8f757439e5cb82650705598225bfe,2013-03-02 16:59:19+00:00,1,4,3,45,0,0,0,0,0.0,0,0,0
08cab484319d5ce162147654483be38838f1f61e,2013-03-02 20:58:49+00:00,0,71,0,107,0,0,0,0,0.0,0,0,0
98ff29f793ed1f7a7bbc533dcd7abec1ce76da77,2013-03-02 20:59:10+00:00,0,1,1,75,0,0,0,0,0.0,0,0,0
07441c89510753eee7a300c16b93ad7b1f65c2d0,2013-03-02 20:59:41+00:00,0,1,1,82,0,0,0,0,0.0,0,0,0
76c4b68e4af1abb917bc89594271ff45b18d13ff,2013-03-02 21:00:48+00:00,0,3,3,86,0,0,0,0,0.0,0,0,0
7aad3fd08cc56d1ffae6acd0de8d3277eed8f01e,2013-03-02 21:02:26+00:00,0,32,5,79,0,0,0,0,0.0,0,0,0
d372a5b10b7707a666bec2c6554431e200e74573,2013-03-02 21:04:00+00:00,0,17,5,73,0,0,0,0,0.0,0,0,0
23d8522285bd7d7b4a1da46325aeac8814d87076,2013-03-03 17:01:38+00:00,4,5,11,130,1,108,62,412,1.000000238418579,0,0,0
b14584f36eca344ed5033d1d2f5a59490fadca56,2013-03-03 17:01:47+00:00,1,0,21,133,0,41,41,267,0.0,2,39,0
d06dabab59b1b9f07289d8a8cd533a3adedbfaba,2013-03-04 08:20:24+00:00,3,143,42,25,0,158,67,564,1.0000003576278687,1,0,0
134699faf9c7cb2d8fcbe505d0385b68b7d7a819,2013-03-04 08:20:47+00:00,1,2,2,22,0,42,42,173,0.9999037981033325,0,0,0
c951f0543c86ad7a3f90ead98f581c0af1865abd,2013-03-04 08:39:16+00:00,1,5,1,35,0,43,43,176,1.0000001192092896,0,0,0
d60845303bf877dde69ae2077d695646fc2a4579,2013-03-04 18:07:29+00:00,1,5,4,37,0,62,62,241,1.0,0,0,0
99eead01a367b01d17def6e3957b5e47c6c67e74,2013-03-04 22:52:31+00:00,0,4,0,92,0,0,0,0,0.0,0,0,0
c0d4b23cea430ba1dce407f4325d9362c55d577c,2013-03-04 22:54:25+00:00,0,39,4,112,0,0,0,0,0.0,0,0,0
d25ba77b2efd7c402ee7656d16bc5b5fba07879c,2013-03-04 22:54:32+00:00,0,4,0,44,0,0,0,0,0.0,0,0,0
90e109c241010ccb8e998cc1b85333261fc2739e,2013-03-05 15:18:24+00:00,1,0,1,62,0,0,0,0,0.0,0,0,0
13de69299f9026bb0be5333e8a4c78a07f2558e9,2013-03-05 15:31:10+00:00,0,0,1,112,0,0,0,0,0.0,0,0,0
25dc07e8ed5504c5388440068722500c19df4daa,2013-03-08 10:17:17+00:00,1,0,20,33,0,42,42,276,0.0,2,39,0
3e72f234d0fb86f12b2e61a3fc5d82c04de145e2,2013-03-08 19:51:42+00:00,0,0,20,79,0,0,0,0,0.0,0,0,0
e958511df085ace98cfcc45c69129553ba07ee9e,2013-03-09 07:16:33+00:00,1,6,0,31,0,44,44,288,0.999305009841919,3,40,0
5bb2be9a2300ccc3c1901d2f85afb79cfb9e02f1,2013-03-09 10:53:38+00:00,1,7,3,169,1,62,62,245,0.9999446868896484,0,0,0
e752455b6f1b5913305a9014f3c0b535ba054069,2013-03-11 08:28:37+00:00,1,2,1,91,0,28,28,114,0.9997396469116211,0,0,3
e706d18cf893198a26ca3f41dd5014dabd87ae89,2013-03-11 18:12:34+00:00,3,30,2,69,0,148,62,688,0.9994263648986816,3,40,0
25ea8cdb38ecc3f66e15149e00625924d667ea7f,2013-03-12 14:37:55+00:00,0,30,2,94,0,0,0,0,0.0,0,0,0
